title,details,address,tags,price
南苑小区(大邑县) 1室0厅1卫,1室0厅|40平米|共2层,南苑小区(大邑县)  |大邑-大邑城区南街西二巷,经政府平台权属核验|整租|朝南,600 元/月
汇鑫苑 1室0厅1卫,1室0厅|31.4平米|高层(共6层),汇鑫苑  |龙泉驿-十陵江华路288号,经政府平台权属核验|整租|朝南,800 元/月
"玉泉巷146号,148号自建房 1室0厅1卫",1室0厅|15平米|共4层,"玉泉巷146号,148号自建房  |郫都-犀浦玉泉巷146号,148号",未核验|整租|南北|2/6号线,450 元/月
晨风社区 1室0厅1卫,1室0厅|20平米|共3层,晨风社区  |高新西区-百草路天辰路101号,未核验|整租|朝南|2号线,800 元/月
黄河村四社19号自建房 1室0厅1卫,1室0厅|28平米|共3层,黄河村四社19号自建房  |新都-泰兴黄河村四社19号,未核验|整租|朝南|3号线,500 元/月
水城栖谷静湖栖 2室1厅1卫,2室1厅|78.3平米|中层(共6层),水城栖谷静湖栖  |金堂-金堂城区金鹰路385号,经政府平台权属核验|整租|朝东,650 元/月
南苑小区(大邑县) 1室0厅1卫,1室0厅|36平米|共2层,南苑小区(大邑县)  |大邑-大邑城区南街西二巷,经政府平台权属核验|整租|朝南,600 元/月
石灵新园2区 1室厅1卫,1室0厅|36平米|共4层,石灵新园2区  |龙泉驿-十陵友谊路103号,经政府平台权属核验|整租|南北|4号线,660 元/月
富康庭苑 1室1厅1卫,1室1厅|35平米|中层(共6层),富康庭苑  |金堂-金堂城区十里大道二段481号,经政府平台权属核验|整租|南北,680 元/月
自由假日 1室1厅1卫,1室1厅|37平米|低层(共11层),自由假日  |龙泉驿-阳光城同安路101号,经政府平台权属核验|整租|朝南,700 元/月
常乐小区(南区) 1室0厅1卫,1室0厅|20平米|共5层,常乐小区(南区)  |双流-航空港学府西路南四街,未核验|整租|朝东,500 元/月
和裕欧景 1室1厅1卫,1室1厅|40平米|高层(共21层),和裕欧景  |金堂-三星文达路221号,经政府平台权属核验|整租|朝南,800 元/月
